observed_counts,time
6,1
10,2
11,3
7,4
11,5
8,6
8,7
8,8
7,9
8,10
4,11
10,12
13,13
9,14
8,15
7,16
7,17
10,18
8,19
8,20
11,21
7,22
8,23
10,24
10,25
23,26
24,27
35,28
27,29
13,30
26,31
15,32
25,33
17,34
15,35
14,36
17,37
22,38
20,39
16,40
15,41
28,42
22,43
31,44
19,45
17,46
17,47
14,48
19,49
21,50
25,51
29,52
19,53
21,54
20,55
20,56
16,57
16,58
33,59
20,60
20,61
16,62
19,63
23,64
23,65
22,66
18,67
19,68
14,69
18,70
31,71
17,72
30,73
25,74
24,75
22,76
21,77
20,78
23,79
22,80
18,81
29,82
17,83
20,84
21,85
26,86
25,87
23,88
26,89
24,90
31,91
20,92
22,93
26,94
26,95
22,96
26,97
27,98
31,99
28,100
23,101
23,102
27,103
17,104
20,105
15,106
25,107
25,108
16,109
27,110
24,111
34,112
30,113
26,114
29,115
29,116
35,117
28,118
29,119
28,120
25,121
27,122
35,123
22,124
30,125
29,126
25,127
22,128
24,129
32,130
